Filename,2 to 4 slope,Curve area,Densification threshold
Fluorite v0,0.0004310577628716546,0.6310088829417635,37.1952256587156
Fluorite v10,0.0003129397646930862,0.41833717714064655,41.65794954310504
Fluorite v11,0.0005482806022118137,0.6400673409914985,40.43231192269632
Fluorite v2,0.0006638254092609544,0.8868318681856743,39.44500327807465
Fluorite v3,0.0008527280361572902,1.0731969328378044,40.90752568549454
Fluorite v4,0.0012676352256596672,1.5264936414438657,40.95252895820838
Fluorite v5,0.0003725058546206838,0.3867282913261636,24.36407589711391
Fluorite v7,0.000162783714892474,0.2584237957601173,26.94315017962401
Fluorite v8,0.00018091105161664335,0.2779482104690577,28.999857771572362
Fluorite v9,7.229752933797553e-05,0.14452689136783864,22.98380786102412
Kelvin v0,0.0009505435256979105,0.9855721243508107,56.42226053543341
Kelvin v1,0.0007626561988954224,0.8430834015841393,57.25003030772434
Kelvin v4,0.003204200743410337,2.8411427338217976,58.10641508151016
kelvin v5,0.0009172621938352527,1.1020725243144307,38.874667742551445
Kelvin v6,0.00017125908211669674,0.26828567836976336,43.75871475665128
Kelvin v7,0.0007942625318930353,0.8646924877780344,51.956535101715836
WP v10,0.00041857878406563367,0.3822286955004882,50.70800473035211
WP v11,0.000756751614276118,0.5332470303844332,48.26174529078469
WP v5,0.006221000081015758,6.405717935882317,40.580576439137396
WP v6,0.0017029185812203718,1.3637017608123854,50.826477253744685
WP v7,0.0008948919743819501,0.8869068297589665,49.80057099708377
WP v8,0.00023120218054486312,0.26455749406043605,43.82417439227648
WP v9,0.0008191381936954713,0.8184399710172019,48.298312186223086
